model_key,model,condition,patient_id,repetition,run,timestamp,raw_valid_json,schema_match,repair_needed,structural_drift_score,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,1,1,2026-05-21T00:58:21.508409,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,1,2026-05-21T00:58:26.288650,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,1,2026-05-21T00:58:30.447239,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,1,2026-05-21T00:58:34.939749,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,1,2026-05-21T00:58:39.442081,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,32,1,2026-05-21T00:58:45.205153,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,1,1,2026-05-21T00:58:50.639097,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,1,2026-05-21T00:58:54.847243,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,1,2026-05-21T00:58:58.198665,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,1,2026-05-21T00:59:01.413472,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,1,2026-05-21T00:59:06.699293,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,32,1,2026-05-21T00:59:12.441532,1,1,0,0.0,0,0,0,0
