model_key,model,condition,patient_id,repetition,run,timestamp,latency_s,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,drift_vs_1x,drift_vs_gold,drift_score,extracted_entities_n,pdf_pages,character_count,estimated_tokens
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,1,2026-05-22T02:01:19.922075,5.538071299999501,0.5,0.4444444444444444,0.4705882352941176,5,4,0.0,0.6923076923076923,0.3461538461538461,8,1,1439,360
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,2,2026-05-22T02:01:24.389504,4.237591999999495,0.5,0.4444444444444444,0.4705882352941176,5,4,0.0,0.6923076923076923,0.3461538461538461,8,1,1439,360
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,3,2026-05-22T02:01:28.879398,4.377787299999909,0.5,0.4444444444444444,0.4705882352941176,5,4,0.0,0.6923076923076923,0.3461538461538461,8,1,1439,360
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,1,2026-05-22T02:01:35.116623,6.065745500000048,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,3,3599,900
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,2,2026-05-22T02:01:40.967163,5.587893599999006,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,3,3599,900
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,3,2026-05-22T02:01:45.981256,4.876678200000242,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,3,3599,900
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,1,2026-05-22T02:01:52.317101,6.088197799999762,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,5,7199,1800
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,2,2026-05-22T02:01:58.447732,5.651799999999639,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,5,7199,1800
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,3,2026-05-22T02:02:05.268251,6.399401399999988,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,5,7199,1800
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,1,2026-05-22T02:02:11.481600,5.217158100000233,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,8,11519,2880
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,2,2026-05-22T02:02:17.075667,5.010952700000416,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,8,11519,2880
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,3,2026-05-22T02:02:22.917512,5.117635200000223,0.5555555555555556,0.5555555555555556,0.5555555555555556,4,4,0.0,0.6153846153846154,0.3076923076923077,9,8,11519,2880
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,1,2026-05-22T02:02:30.137984,7.116151799998988,0.1428571428571428,0.1428571428571428,0.1428571428571428,6,6,0.0,0.9230769230769232,0.4615384615384615,7,1,1083,271
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,2,2026-05-22T02:02:38.090015,7.858488500000021,0.1428571428571428,0.1428571428571428,0.1428571428571428,6,6,0.0,0.9230769230769232,0.4615384615384615,7,1,1083,271
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,3,2026-05-22T02:02:43.963640,5.774863200000254,0.1428571428571428,0.1428571428571428,0.1428571428571428,6,6,0.0,0.9230769230769232,0.4615384615384615,7,1,1083,271
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,1,2026-05-22T02:02:48.142414,3.9916396000007808,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,3,2709,678
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,2,2026-05-22T02:02:52.664637,4.334414300001299,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,3,2709,678
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,3,2026-05-22T02:02:57.897152,5.052317100000437,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,3,2709,678
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,1,2026-05-22T02:03:02.593083,4.375854600000821,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,5,5419,1355
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,2,2026-05-22T02:03:06.541472,3.5313600999998016,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,5,5419,1355
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,3,2026-05-22T02:03:10.027516,3.1492287999990367,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,5,5419,1355
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,1,2026-05-22T02:03:14.578477,3.89957510000022,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,0.0,0.4444444444444444,0.2222222222222222,7,8,8671,2168
