model_key,model,condition,patient_id,repetition,run,timestamp,raw_valid_json,schema_match,repair_needed,structural_drift_score,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,1,2026-05-22T02:01:19.922075,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,2,2026-05-22T02:01:24.389504,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,3,2026-05-22T02:01:28.879398,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,1,2026-05-22T02:01:35.116623,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,2,2026-05-22T02:01:40.967163,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,3,2026-05-22T02:01:45.981256,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,1,2026-05-22T02:01:52.317101,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,2,2026-05-22T02:01:58.447732,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,3,2026-05-22T02:02:05.268251,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,1,2026-05-22T02:02:11.481600,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,2,2026-05-22T02:02:17.075667,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,3,2026-05-22T02:02:22.917512,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,1,2026-05-22T02:02:30.137984,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,2,2026-05-22T02:02:38.090015,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,3,2026-05-22T02:02:43.963640,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,1,2026-05-22T02:02:48.142414,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,2,2026-05-22T02:02:52.664637,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,3,2026-05-22T02:02:57.897152,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,1,2026-05-22T02:03:02.593083,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,2,2026-05-22T02:03:06.541472,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,3,2026-05-22T02:03:10.027516,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,1,2026-05-22T02:03:14.578477,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,2,2026-05-22T02:03:18.887992,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,3,2026-05-22T02:03:23.002285,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,1,2026-05-22T02:03:27.583370,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,2,2026-05-22T02:03:32.077101,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,3,2026-05-22T02:03:36.754224,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,1,2026-05-22T02:03:42.142464,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,2,2026-05-22T02:03:47.418288,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,3,2026-05-22T02:03:51.485983,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,10,1,2026-05-22T02:03:56.037263,1,1,0,0.0,0,0,0,0
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,10,2,2026-05-22T02:04:00.951177,1,1,0,0.0,0,0,0,0
