model_key,model,condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens,estimated_cost
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,1,650,132,782,0.0003128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,2,650,132,782,0.0003128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,3,650,132,782,0.0003128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,1,1412,134,1546,0.0006184000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,2,1412,134,1546,0.0006184000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,3,1412,134,1546,0.0006184000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,1,2682,138,2820,0.001128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,2,2682,138,2820,0.001128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,3,2682,138,2820,0.001128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,1,4206,138,4344,0.0017376
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,2,4206,138,4344,0.0017376
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,3,4206,138,4344,0.0017376
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,1,538,154,692,0.0002768
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,2,538,154,692,0.0002768
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,3,538,154,692,0.0002768
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,1,1132,112,1244,0.0004976
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,2,1132,112,1244,0.0004976
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,3,1132,112,1244,0.0004976
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,1,2122,112,2234,0.0008936
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,2,2122,112,2234,0.0008936
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,3,2122,112,2234,0.0008936
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,1,3310,117,3427,0.0013708000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,2,3310,117,3427,0.0013708000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,3,3310,117,3427,0.0013708000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,1,564,149,713,0.0002852
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,2,564,149,713,0.0002852
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,3,564,149,713,0.0002852
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,1,1197,136,1333,0.0005332000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,2,1197,136,1333,0.0005332000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,3,1197,136,1333,0.0005332000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,10,1,2252,136,2388,0.0009552000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,10,2,2252,136,2388,0.0009552000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,10,3,2252,136,2388,0.0009552000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,16,1,3518,136,3654,0.0014616000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,16,2,3518,136,3654,0.0014616000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,16,3,3518,136,3654,0.0014616000000000002
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,2,1,418,85,503,0.0002012
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,2,2,418,85,503,0.0002012
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,2,3,418,85,503,0.0002012
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,5,1,832,85,917,0.0003668
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,5,2,832,85,917,0.0003668
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,5,3,832,85,917,0.0003668
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,10,1,1522,85,1607,0.0006428
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,10,2,1522,85,1607,0.0006428
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,10,3,1522,85,1607,0.0006428
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,16,1,2350,85,2435,0.0009740000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,16,2,2350,85,2435,0.0009740000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_04,16,3,2350,85,2435,0.0009740000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,2,1,508,122,630,0.000252
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,2,2,508,122,630,0.000252
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,2,3,508,122,630,0.000252
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_05,5,1,1057,122,1179,0.0004716000000000001
