model_key,model,condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens,estimated_cost
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,1,1,419,139,558,0.00020644000000000004
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,1,697,155,852,0.00031292
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,1,1531,155,1686,0.00061316
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,1,2921,155,3076,0.00111356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,1,4589,144,4733,0.0017096400000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,32,1,9037,144,9181,0.00331092
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,1,1,364,128,492,0.00018224000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,1,587,128,715,0.00026252000000000003
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,1,1256,128,1384,0.00050336
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,10,1,2371,128,2499,0.00090476
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,16,1,3709,128,3837,0.00138644
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,32,1,7277,140,7417,0.00267572
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,1,1,383,169,552,0.00020548
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,2,1,625,169,794,0.0002926
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,5,1,1351,169,1520,0.00055396
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,10,1,2561,169,2730,0.00098956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,16,1,4013,169,4182,0.00151228
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_03,32,1,7885,169,8054,0.0029062
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,1,1,296,102,398,0.00014736
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,2,1,451,102,553,0.00020316
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,5,1,916,90,1006,0.00036575999999999997
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,10,1,1691,102,1793,0.00064956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,16,1,2621,95,2716,0.00098156
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_04,32,1,5101,95,5196,0.0018743599999999998
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,1,1,353,141,494,0.00018348
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,2,1,565,141,706,0.00025979999999999997
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,5,1,1201,141,1342,0.00048876
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,10,1,2261,141,2402,0.00087036
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,16,1,3533,131,3664,0.00132428
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_05,32,1,6925,141,7066,0.0025494
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,1,1,301,103,404,0.00014956
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,2,1,461,103,564,0.00020716
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,5,1,941,103,1044,0.00037996000000000004
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,10,1,1741,103,1844,0.00066796
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,16,1,2701,109,2810,0.00101596
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_06,32,1,5261,109,5370,0.00193756
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,1,1,317,119,436,0.00016172
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,2,1,493,119,612,0.00022508
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,5,1,1021,133,1154,0.00042076
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,10,1,1901,133,2034,0.0007375600000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,16,1,2957,124,3081,0.0011141200000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_07,32,1,5773,124,5897,0.00212788
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,1,1,356,143,499,0.00018536
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,2,1,571,143,714,0.00026276
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,5,1,1216,143,1359,0.00049496
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,10,1,2291,143,2434,0.0008819600000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,16,1,3581,143,3724,0.00134636
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_08,32,1,7021,143,7164,0.0025847599999999997
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,1,1,287,100,387,0.00014332
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,2,1,433,100,533,0.00019588
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,5,1,871,100,971,0.00035356
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,10,1,1601,100,1701,0.0006163599999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,16,1,2477,108,2585,0.0009349200000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_09,32,1,4813,108,4921,0.0017758799999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,1,1,339,131,470,0.00017444000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,2,1,537,123,660,0.00024252000000000003
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,5,1,1131,123,1254,0.00045636000000000006
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,10,1,2121,123,2244,0.0008127600000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,16,1,3309,123,3432,0.0012404400000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_10,32,1,6477,123,6600,0.0023809200000000003
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,1,1,419,139,558,0.00020644000000000004
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,2,1,545,139,684,0.0002518
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,5,1,923,155,1078,0.00039428000000000005
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,10,1,1549,144,1693,0.00061524
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,16,1,2330,155,2485,0.0009007999999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_01,32,1,4328,155,4483,0.00162008
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,1,1,364,128,492,0.00018224000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,2,1,463,128,591,0.00021788
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,5,1,755,128,883,0.00032300000000000004
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,10,1,1214,128,1342,0.00048824
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,16,1,1772,128,1900,0.00068912
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_02,32,1,3304,128,3432,0.00124064
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_03,1,1,383,169,552,0.00020548
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_03,2,1,491,169,660,0.00024436
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_03,5,1,798,169,967,0.00035487999999999996
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_03,10,1,1311,169,1480,0.00053956
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_03,16,1,1893,169,2062,0.0007490800000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_03,32,1,3519,169,3688,0.0013344399999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_04,1,1,296,102,398,0.00014736
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_04,2,1,377,90,467,0.00017172
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_04,5,1,583,95,678,0.00024788
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_04,10,1,900,95,995,0.00036199999999999996
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_04,16,1,1344,95,1439,0.00052184
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_04,32,1,2413,95,2508,0.00090668
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_05,1,1,353,141,494,0.00018348
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_05,2,1,450,141,591,0.0002184
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_05,5,1,700,141,841,0.0003084
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_05,10,1,1155,131,1286,0.0004682
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_05,16,1,1693,141,1834,0.0006658800000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_05,32,1,3071,131,3202,0.00115796
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_06,1,1,301,103,404,0.00014956
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_06,2,1,375,111,486,0.00017940000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_06,5,1,567,111,678,0.00024852
