model_key,model,condition,patient_id,repetition,run,timestamp,raw_valid_json,schema_match,repair_needed,structural_drift_score,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,1,2026-05-22T02:21:25.333679,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,2,2026-05-22T02:21:31.713641,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,2,3,2026-05-22T02:21:41.780257,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,1,2026-05-22T02:21:48.750480,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,2,2026-05-22T02:21:54.755600,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,5,3,2026-05-22T02:22:00.748038,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,1,2026-05-22T02:22:05.847232,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,2,2026-05-22T02:22:12.461488,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,10,3,2026-05-22T02:22:19.134075,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,1,2026-05-22T02:22:26.578109,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,2,2026-05-22T02:22:34.998482,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_01,16,3,2026-05-22T02:22:41.538030,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,1,2026-05-22T02:22:46.450512,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,2,2026-05-22T02:22:51.144371,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,2,3,2026-05-22T02:22:54.682406,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,1,2026-05-22T02:22:59.607157,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,2,2026-05-22T02:23:03.154872,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,5,3,2026-05-22T02:23:06.809455,1,1,0,0.0,0,0,0,0
qwen72b,Qwen/Qwen2.5-72B-Instruct,redundancy,patient_02,10,1,2026-05-22T02:23:10.857166,1,1,0,0.0,0,0,0,0
