run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260522_161359,patient_01,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:13:59.846817,1,719,180,1,redundancy
20260522_161359,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:04.337956,3,3599,900,5,redundancy
20260522_161359,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:09.869458,5,7199,1800,10,redundancy
20260522_161359,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:15.626256,8,11519,2880,16,redundancy
20260522_161359,patient_02,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:20.517221,1,541,136,1,redundancy
20260522_161359,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:22.750066,3,2709,678,5,redundancy
20260522_161359,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:26.645838,5,5419,1355,10,redundancy
20260522_161359,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:32.023929,8,8671,2168,16,redundancy
20260522_161359,patient_03,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:36.598882,1,578,145,1,redundancy
20260522_161359,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:39.640474,3,2894,724,5,redundancy
20260522_161359,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:42.282086,5,5789,1448,10,redundancy
20260522_161359,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:45.283316,8,9263,2316,16,redundancy
20260522_161359,patient_04,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:47.962643,1,391,98,1,redundancy
20260522_161359,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:49.706747,2,1959,490,5,redundancy
20260522_161359,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:51.431148,4,3919,980,10,redundancy
20260522_161359,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:53.252822,6,6271,1568,16,redundancy
20260522_161359,patient_05,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:54.833913,1,500,125,1,redundancy
20260522_161359,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:14:56.908894,3,2504,626,5,redundancy
20260522_161359,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:00.105061,5,5009,1253,10,redundancy
20260522_161359,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:03.990206,8,8015,2004,16,redundancy
20260522_161359,patient_06,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:07.709660,1,387,97,1,redundancy
20260522_161359,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:09.632712,2,1939,485,5,redundancy
20260522_161359,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:12.926427,4,3879,970,10,redundancy
20260522_161359,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:16.401903,6,6207,1552,16,redundancy
20260522_161359,patient_07,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:19.505988,1,434,109,1,redundancy
20260522_161359,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:21.549886,2,2174,544,5,redundancy
20260522_161359,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:24.190571,4,4349,1088,10,redundancy
20260522_161359,patient_07,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:28.222184,6,6959,1740,16,redundancy
20260522_161359,patient_08,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:32.924530,1,544,136,1,redundancy
20260522_161359,patient_08,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:35.688635,3,2724,681,5,redundancy
20260522_161359,patient_08,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:38.286054,5,5449,1363,10,redundancy
20260522_161359,patient_08,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:41.135773,8,8719,2180,16,redundancy
20260522_161359,patient_09,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:44.166425,1,366,92,1,redundancy
20260522_161359,patient_09,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:47.202814,2,1834,459,5,redundancy
20260522_161359,patient_09,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:50.141563,3,3669,918,10,redundancy
20260522_161359,patient_09,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:53.143329,5,5871,1468,16,redundancy
20260522_161359,patient_10,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:56.014888,1,498,125,1,redundancy
20260522_161359,patient_10,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:15:58.586709,3,2494,624,5,redundancy
20260522_161359,patient_10,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:16:01.053397,5,4989,1248,10,redundancy
20260522_161359,patient_10,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:16:05.210988,7,7983,1996,16,redundancy
