patient_id,micro_f1_strict_1x,micro_f1_strict_2x,micro_f1_strict_5x,micro_f1_strict_10x,micro_f1_strict_16x,micro_f1_strict_32x,micro_f1_soft_1x,micro_f1_soft_2x,micro_f1_soft_5x,micro_f1_soft_10x,micro_f1_soft_16x,micro_f1_soft_32x,delta_strict_2x_minus_1x,delta_soft_2x_minus_1x,delta_strict_5x_minus_1x,delta_soft_5x_minus_1x,delta_strict_10x_minus_1x,delta_soft_10x_minus_1x,delta_strict_16x_minus_1x,delta_soft_16x_minus_1x,delta_strict_32x_minus_1x,delta_soft_32x_minus_1x
patient_01,0.35294117647058826,0.375,0.25,0.25,0.125,0.125,0.35294117647058826,0.375,0.25,0.25,0.125,0.125,0.022058823529411742,0.022058823529411742,-0.10294117647058826,-0.10294117647058826,-0.10294117647058826,-0.10294117647058826,-0.22794117647058826,-0.22794117647058826,-0.22794117647058826,-0.22794117647058826
patient_02,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28571428571428575,-0.28571428571428575
patient_03,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222222222222,-0.2222222222222222
patient_04,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333
patient_05,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.1176470588235294,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23529411764705888,-0.23529411764705888
patient_06,0.6,0.6,0.6,0.6,0.6,0.20000000000000004,0.6,0.6,0.6,0.6,0.6,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3999999999999999,-0.3999999999999999
patient_07,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.30769230769230765,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.30769230769230765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26373626373626374,-0.26373626373626374
patient_08,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.3137254901960784,0.4705882352941176,0.4705882352941176,0.5098039215686274,0.5882352941176471,0.5882352941176471,0.39215686274509803,0.4705882352941176,0.0,0.03921568627450983,0.0,0.1176470588235295,0.0,0.1176470588235295,-0.15686274509803916,-0.07843137254901955,0.0,0.0
patient_09,0.3333333333333333,0.6,0.6,0.6,0.6,0.06666666666666668,0.3333333333333333,0.6,0.6,0.6,0.6,0.06666666666666668,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,-0.2666666666666666,-0.2666666666666666
patient_10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.26666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16190476190476188,-0.16190476190476188
