patient_id,repetition,target_est_tokens,achieved_est_tokens,delta_tokens,delta_frac,control_chars,redundancy_chars
patient_01,1,184,184,0,0.0,735,735
patient_01,2,368,376,8,0.021739130434782608,1501,1470
patient_01,5,919,921,2,0.002176278563656148,3683,3675
patient_01,10,1838,1839,1,0.000544069640914037,7353,7350
patient_01,16,2940,2954,14,0.004761904761904762,11815,11760
patient_01,32,5880,5903,23,0.0039115646258503405,23610,23520
patient_02,1,139,139,0,0.0,553,553
patient_02,2,277,284,7,0.02527075812274368,1134,1106
patient_02,5,692,702,10,0.014450867052023121,2807,2765
patient_02,10,1383,1389,6,0.004338394793926247,5554,5530
patient_02,16,2212,2223,11,0.004972875226039783,8891,8848
patient_02,32,4424,4438,14,0.0031645569620253164,17749,17696
patient_03,1,147,147,0,0.0,588,588
patient_03,2,294,297,3,0.01020408163265306,1188,1176
patient_03,5,735,757,22,0.029931972789115645,3026,2940
patient_03,10,1470,1487,17,0.011564625850340135,5947,5880
patient_03,16,2352,2364,12,0.00510204081632653,9453,9408
patient_03,32,4704,4704,0,0.0,18816,18816
patient_04,1,100,100,0,0.0,399,399
patient_04,2,200,222,22,0.11,885,798
patient_04,5,499,518,19,0.03807615230460922,2069,1995
patient_04,10,998,1006,8,0.008016032064128256,4022,3990
patient_04,16,1596,1621,25,0.015664160401002505,6483,6384
patient_04,32,3192,3213,21,0.006578947368421052,12849,12768
patient_05,1,128,128,0,0.0,510,510
patient_05,2,255,271,16,0.06274509803921569,1083,1020
patient_05,5,638,643,5,0.007836990595611285,2572,2550
patient_05,10,1275,1277,2,0.001568627450980392,5107,5100
patient_05,16,2040,2051,11,0.005392156862745098,8202,8160
patient_05,32,4080,4100,20,0.004901960784313725,16400,16320
patient_06,1,99,99,0,0.0,395,395
patient_06,2,198,220,22,0.1111111111111111,878,790
patient_06,5,494,495,1,0.0020242914979757085,1977,1975
patient_06,10,988,994,6,0.006072874493927126,3976,3950
patient_06,16,1580,1587,7,0.004430379746835443,6347,6320
patient_06,32,3160,3183,23,0.007278481012658228,12729,12640
patient_07,1,111,111,0,0.0,442,442
patient_07,2,221,232,11,0.049773755656108594,928,884
patient_07,5,553,574,21,0.0379746835443038,2296,2210
patient_07,10,1105,1111,6,0.005429864253393665,4441,4420
patient_07,16,1768,1772,4,0.0022624434389140274,7088,7072
patient_07,32,3536,3539,3,0.0008484162895927602,14154,14144
patient_08,1,139,139,0,0.0,554,554
patient_08,2,277,284,7,0.02527075812274368,1135,1108
patient_08,5,693,703,10,0.01443001443001443,2810,2770
patient_08,10,1385,1388,3,0.0021660649819494585,5551,5540
patient_08,16,2216,2237,21,0.00947653429602888,8947,8864
patient_08,32,4432,4442,10,0.002256317689530686,17765,17728
patient_09,1,94,94,0,0.0,373,373
patient_09,2,187,191,4,0.0213903743315508,764,746
patient_09,5,467,481,14,0.029978586723768737,1924,1865
patient_09,10,933,946,13,0.013933547695605574,3781,3730
patient_09,16,1492,1511,19,0.012734584450402145,6044,5968
patient_09,32,2984,3004,20,0.006702412868632708,12015,11936
patient_10,1,127,127,0,0.0,508,508
patient_10,2,254,272,18,0.07086614173228346,1087,1016
patient_10,5,635,643,8,0.012598425196850394,2572,2540
patient_10,10,1270,1285,15,0.011811023622047244,5137,5080
patient_10,16,2032,2052,20,0.00984251968503937,8206,8128
patient_10,32,4064,4066,2,0.0004921259842519685,16261,16256
