run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260522_165338,patient_01,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:53:38.798766,1,719,180,1,constant_length_control
20260522_165338,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:53:43.779568,2,3704,926,5,constant_length_control
20260522_165338,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:53:47.929680,3,7291,1823,10,constant_length_control
20260522_165338,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:53:52.184093,5,11686,2922,16,constant_length_control
20260522_165338,patient_02,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:53:56.914000,1,541,136,1,constant_length_control
20260522_165338,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:53:59.288409,2,2767,692,5,constant_length_control
20260522_165338,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:02.533619,3,5485,1372,10,constant_length_control
20260522_165338,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:05.175745,4,8749,2188,16,constant_length_control
20260522_165338,patient_03,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:07.551717,1,578,145,1,constant_length_control
20260522_165338,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:10.552007,2,2929,733,5,constant_length_control
20260522_165338,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:13.330509,3,5877,1470,10,constant_length_control
20260522_165338,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:16.174716,4,9374,2344,16,constant_length_control
20260522_165338,patient_04,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:18.891927,1,391,98,1,constant_length_control
20260522_165338,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:20.498432,1,2017,505,5,constant_length_control
20260522_165338,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:22.291204,2,3950,988,10,constant_length_control
20260522_165338,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:24.074458,3,6364,1591,16,constant_length_control
20260522_165338,patient_05,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:25.580975,1,500,125,1,constant_length_control
20260522_165338,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:27.625136,2,2532,633,5,constant_length_control
20260522_165338,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:29.790064,3,5056,1264,10,constant_length_control
20260522_165338,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:32.907787,4,8152,2038,16,constant_length_control
20260522_165338,patient_06,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:36.335463,1,387,97,1,constant_length_control
20260522_165338,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:38.097343,1,2031,508,5,constant_length_control
20260522_165338,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:40.063353,2,3952,988,10,constant_length_control
20260522_165338,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:42.082514,3,6339,1585,16,constant_length_control
20260522_165338,patient_07,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:44.890856,1,434,109,1,constant_length_control
20260522_165338,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:55.161568,1,2184,546,5,constant_length_control
20260522_165338,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:54:58.447098,2,4409,1103,10,constant_length_control
20260522_165338,patient_07,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:01.684450,3,7028,1757,16,constant_length_control
20260522_165338,patient_08,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:04.480792,1,544,136,1,constant_length_control
20260522_165338,patient_08,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:07.380587,2,2812,703,5,constant_length_control
20260522_165338,patient_08,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:10.081229,3,5564,1391,10,constant_length_control
20260522_165338,patient_08,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:13.254612,4,8858,2215,16,constant_length_control
20260522_165338,patient_09,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:16.278074,1,366,92,1,constant_length_control
20260522_165338,patient_09,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:19.536056,1,1927,482,5,constant_length_control
20260522_165338,patient_09,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:21.629326,2,3744,936,10,constant_length_control
20260522_165338,patient_09,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:32.452648,3,5912,1478,16,constant_length_control
20260522_165338,patient_10,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:35.565819,1,498,125,1,constant_length_control
20260522_165338,patient_10,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:38.795343,2,2542,636,5,constant_length_control
20260522_165338,patient_10,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:41.262473,3,5053,1264,10,constant_length_control
20260522_165338,patient_10,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:43.919749,4,8043,2011,16,constant_length_control
20260522_165338,patient_11,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:47.972200,1,719,180,1,constant_length_control
20260522_165338,patient_11,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:52.089770,2,3651,913,5,constant_length_control
20260522_165338,patient_11,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:55:56.198578,3,7360,1840,10,constant_length_control
20260522_165338,patient_11,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:00.420425,5,11688,2922,16,constant_length_control
20260522_165338,patient_12,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:05.858677,1,541,136,1,constant_length_control
20260522_165338,patient_12,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:08.373536,2,2753,689,5,constant_length_control
20260522_165338,patient_12,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:11.138928,3,5495,1374,10,constant_length_control
20260522_165338,patient_12,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:56:14.023216,4,8831,2208,16,constant_length_control
