patient_id,repetition,run,target_est_tokens,control_est_tokens
patient_63,10,1,1470,1492
patient_63,16,1,2352,2366
patient_64,1,1,100,100
patient_64,5,1,499,515
patient_64,10,1,998,999
patient_64,16,1,1596,1606
patient_65,1,1,128,128
patient_65,5,1,638,659
patient_65,10,1,1275,1286
patient_65,16,1,2040,2044
patient_66,1,1,99,99
patient_66,5,1,494,513
patient_66,10,1,988,988
patient_66,16,1,1580,1584
patient_67,1,1,111,111
patient_67,5,1,553,555
patient_67,10,1,1105,1127
patient_67,16,1,1768,1779
patient_68,1,1,139,139
patient_68,5,1,693,697
patient_68,10,1,1385,1405
patient_68,16,1,2216,2226
patient_69,1,1,94,94
patient_69,5,1,467,467
patient_69,10,1,933,945
patient_69,16,1,1492,1494
patient_70,1,1,127,127
patient_70,5,1,635,642
patient_70,10,1,1270,1278
patient_70,16,1,2032,2041
patient_71,1,1,184,184
patient_71,5,1,919,939
patient_71,10,1,1838,1860
patient_71,16,1,2940,2961
patient_72,1,1,139,139
patient_72,5,1,692,705
patient_72,10,1,1383,1401
patient_72,16,1,2212,2235
patient_73,1,1,147,147
patient_73,5,1,735,737
patient_73,10,1,1470,1481
patient_73,16,1,2352,2371
patient_74,1,1,100,100
patient_74,5,1,499,515
patient_74,10,1,998,1004
patient_74,16,1,1596,1613
patient_75,1,1,128,128
patient_75,5,1,638,662
patient_75,10,1,1275,1296
patient_75,16,1,2040,2062
patient_76,1,1,99,99
patient_76,5,1,494,515
patient_76,10,1,988,1000
patient_76,16,1,1580,1592
patient_77,1,1,111,111
patient_77,5,1,553,576
patient_77,10,1,1105,1119
patient_77,16,1,1768,1771
patient_78,1,1,139,139
patient_78,5,1,693,702
patient_78,10,1,1385,1386
patient_78,16,1,2216,2234
patient_79,1,1,94,94
patient_79,5,1,467,484
patient_79,10,1,933,933
patient_79,16,1,1492,1505
patient_80,1,1,127,127
patient_80,5,1,635,643
patient_80,10,1,1270,1273
patient_80,16,1,2032,2055
patient_81,1,1,184,184
patient_81,5,1,919,935
patient_81,10,1,1838,1862
patient_81,16,1,2940,2962
patient_82,1,1,139,139
patient_82,5,1,692,698
patient_82,10,1,1383,1406
patient_82,16,1,2212,2234
patient_83,1,1,147,147
patient_83,5,1,735,753
patient_83,10,1,1470,1489
patient_83,16,1,2352,2373
patient_84,1,1,100,100
patient_84,5,1,499,513
patient_84,10,1,998,1005
patient_84,16,1,1596,1599
patient_85,1,1,128,128
patient_85,5,1,638,641
patient_85,10,1,1275,1281
patient_85,16,1,2040,2053
patient_86,1,1,99,99
patient_86,5,1,494,516
patient_86,10,1,988,1003
patient_86,16,1,1580,1598
patient_87,1,1,111,111
patient_87,5,1,553,569
patient_87,10,1,1105,1108
patient_87,16,1,1768,1771
patient_88,1,1,139,139
patient_88,5,1,693,702
patient_88,10,1,1385,1406
patient_88,16,1,2216,2218
patient_89,1,1,94,94
patient_89,5,1,467,487
patient_89,10,1,933,934
patient_89,16,1,1492,1508
patient_90,1,1,127,127
patient_90,5,1,635,642
patient_90,10,1,1270,1286
patient_90,16,1,2032,2055
patient_91,1,1,184,184
patient_91,5,1,919,944
patient_91,10,1,1838,1845
patient_91,16,1,2940,2951
patient_92,1,1,139,139
patient_92,5,1,692,702
patient_92,10,1,1383,1383
patient_92,16,1,2212,2216
patient_93,1,1,147,147
patient_93,5,1,735,742
patient_93,10,1,1470,1476
patient_93,16,1,2352,2370
patient_94,1,1,100,100
patient_94,5,1,499,518
patient_94,10,1,998,1009
patient_94,16,1,1596,1612
patient_95,1,1,128,128
patient_95,5,1,638,641
patient_95,10,1,1275,1286
patient_95,16,1,2040,2053
patient_96,1,1,99,99
patient_96,5,1,494,513
patient_96,10,1,988,1005
patient_96,16,1,1580,1594
patient_97,1,1,111,111
patient_97,5,1,553,556
patient_97,10,1,1105,1115
patient_97,16,1,1768,1789
patient_98,1,1,139,139
patient_98,5,1,693,697
patient_98,10,1,1385,1406
patient_98,16,1,2216,2233
patient_99,1,1,94,94
patient_99,5,1,467,486
patient_99,10,1,933,950
patient_99,16,1,1492,1510
patient_100,1,1,127,127
patient_100,5,1,635,641
patient_100,10,1,1270,1275
patient_100,16,1,2032,2041
