run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n
20260522_152824,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:24,1,200,4.850305699997989,0.25,0.2222222222222222,0.23529411764705882,7,6,8
20260522_152824,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:29,1,200,7.554751599996962,0.14285714285714285,0.1111111111111111,0.125,8,6,7
20260522_152824,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:37,1,200,4.948763499996858,0.25,0.2222222222222222,0.23529411764705882,7,6,8
20260522_152824,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:42,1,200,2.929791700000351,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
20260522_152824,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:45,1,200,2.9957832000000053,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,2,7
20260522_152824,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:49,1,200,5.294313599999441,0.14285714285714285,0.14285714285714285,0.14285714285714285,6,6,7
20260522_152824,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:55,1,200,3.360723000001599,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
20260522_152824,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:28:59,1,200,4.554314199998771,0.2222222222222222,0.2222222222222222,0.2222222222222222,7,7,9
20260522_152824,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:04,1,200,3.2267815000013798,0.4444444444444444,0.4444444444444444,0.4444444444444444,5,5,9
20260522_152824,patient_04,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:07,1,200,2.3221604999998817,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,6
20260522_152824,patient_04,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:10,1,200,3.4297552999996697,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6
20260522_152824,patient_04,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:14,1,200,2.4985869000011007,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,4,6
20260522_152824,patient_05,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:16,1,200,2.819950199998857,0.375,0.3333333333333333,0.35294117647058826,6,5,8
20260522_152824,patient_05,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:19,1,200,2.8320964999984426,0.375,0.3333333333333333,0.35294117647058826,6,5,8
20260522_152824,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:23,1,200,2.5610264999995707,0.375,0.3333333333333333,0.35294117647058826,6,5,8
20260522_152824,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:25,1,200,3.5652162000005774,0.2,0.2,0.20000000000000004,4,4,5
20260522_152824,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:29,1,200,2.507717699998466,0.2,0.2,0.20000000000000004,4,4,5
20260522_152824,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:32,1,200,2.433552399998007,0.6,0.6,0.6,2,2,5
20260522_152824,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:35,1,200,2.3735496000008425,0.5714285714285714,0.5714285714285714,0.5714285714285714,3,3,7
20260522_152824,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:38,1,200,2.442024500000116,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,7
20260522_152824,patient_07,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:40,1,200,4.5656907000011415,0.2857142857142857,0.2857142857142857,0.2857142857142857,5,5,7
20260522_152824,patient_08,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:45,1,200,2.6967309000028763,0.5,0.4444444444444444,0.47058823529411764,5,4,8
20260522_152824,patient_08,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:48,1,200,3.7949818999986746,0.5,0.4444444444444444,0.47058823529411764,5,4,8
20260522_152824,patient_08,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:52,1,200,3.4380851999994775,0.5,0.4444444444444444,0.47058823529411764,5,4,8
20260522_152824,patient_09,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T15:29:56,1,200,3.7290997999989486,0.2,0.2,0.20000000000000004,4,4,5
