repetition,n,f1_mean,f1_std,omission_mean,omission_std,halluc_mean,halluc_std,raw_json_valid_rate,sds_mean,sds_std,repair_rate,f1_ci_low,f1_ci_high,omission_ci_low,omission_ci_high,halluc_ci_low,halluc_ci_high,sds_ci_low,sds_ci_high,output_variance_mean,condition
1,30,0.4990102707749766,0.1474109090309338,3.8333333333333335,1.7237355852380878,3.533333333333333,1.3829836145670416,1.0,0.0,0.0,0.0,0.4462599544439014,0.5517605871060518,3.2165024760366103,4.450164190630057,3.038439002725846,4.028227663940821,0.0,0.0,0.0523782800878924,exact_redundancy
2,30,0.4573926237161531,0.1853093715701948,4.1,1.9000907419347648,3.7,1.3683617186633978,1.0,0.0,0.0,0.0,0.3910805167377663,0.5237047306945398,3.420061260365926,4.779938739634073,3.21033804764286,4.189661952357141,0.0,0.0,0.0,exact_redundancy
5,30,0.3249556489262371,0.2118158202176128,5.0,2.084425001338954,4.6,1.6525841832592434,1.0,0.0,0.0,0.0,0.2491583311167355,0.4007529667357388,4.25409809279476,5.74590190720524,4.008630344906405,5.191369655093594,0.0,0.0,0.0276176385917978,exact_redundancy
10,30,0.3110060690943043,0.188111460827281,5.066666666666666,1.8370390969378307,4.766666666666667,1.4781939897267773,1.0,0.0,0.0,0.0,0.2436912473530081,0.3783208908356005,4.40929066842431,5.724042664909023,4.237701740872615,5.295631592460718,0.0,0.0,0.0224988521286628,exact_redundancy
16,30,0.2919584500466853,0.1742913696569667,5.2,1.749876842957024,4.9,1.398274799098197,1.0,0.0,0.0,0.0,0.2295890844168184,0.3543278156765522,4.573814613767588,5.826185386232412,4.399633789282704,5.400366210717297,0.0,0.0,0.0146931279207594,exact_redundancy
32,30,0.258625116713352,0.1219850939636335,5.4,1.4527025943345069,5.1,1.0618786215460558,1.0,0.0,0.0,0.0,0.2149733114530826,0.3022769219736213,4.880157052894654,5.919842947105347,4.720011615422533,5.479988384577466,0.0,0.0,3.3306690738754695e-17,exact_redundancy
5,10,0.428422035480859,0.1850865113329559,4.2,1.6193277068654826,3.9,1.286683937707919,1.0,0.0,0.0,0.0,0.3137042272434642,0.5431398437182537,3.196330288945169,5.203669711054832,3.1025050331053983,4.6974949668946016,0.0,0.0,,shuffled_redundancy
10,10,0.3697735760971055,0.1701351688661633,4.6,1.577621275493231,4.2,1.0327955589886444,1.0,0.0,0.0,0.0,0.2643227059290746,0.4752244462651363,3.622180202923076,5.577819797076923,3.559866680552663,4.840133319447338,0.0,0.0,,shuffled_redundancy
16,10,0.3331839402427637,0.1386693130493992,4.9,1.3703203194062976,4.7,1.2516655570345725,1.0,0.0,0.0,0.0,0.2472358095645896,0.4191320709209378,4.050666666666667,5.749333333333333,3.924209650313523,5.475790349686477,0.0,0.0,,shuffled_redundancy
1,30,0.4935200746965452,0.1452765730633254,3.8333333333333335,1.5774998406105902,3.533333333333333,1.2521246311585854,1.0,0.0,0.0,0.0,0.4415335206825758,0.5455066287105147,3.2688322651866937,4.397834401479973,3.085266288541649,3.981400378125017,0.0,0.0,0.0523782800878924,filler_control
2,30,0.5223926237161531,0.1203824509016386,3.7,1.643167672515499,3.3,1.2077336998093466,1.0,0.0,0.0,0.0,0.4793143169102505,0.5654709305220558,3.112,4.288,2.8678180459814286,3.732181954018571,0.0,0.0,0.0104756560175784,filler_control
5,30,0.5098926237161531,0.1405651239246473,3.8,1.8080280742403805,3.4,1.3025174563659143,1.0,0.0,0.0,0.0,0.4595920401237546,0.5601932073085515,3.1530054629021333,4.446994537097867,2.93390011430137,3.8660998856986297,0.0,0.0,0.0,filler_control
10,30,0.5098926237161531,0.1405651239246473,3.8,1.8080280742403805,3.4,1.3025174563659143,1.0,0.0,0.0,0.0,0.4595920401237546,0.5601932073085515,3.1530054629021333,4.446994537097867,2.93390011430137,3.8660998856986297,0.0,0.0,0.0,filler_control
16,30,0.4817063492063492,0.1902271062205564,4.033333333333333,2.204749314600162,3.3666666666666667,1.5862193902556443,0.9666666666666668,0.1666666666666666,0.9128709291752768,0.0333333333333333,0.4136344534840749,0.5497782449286235,3.2443739236096323,4.822292743057035,2.7990453477525303,3.934287985580803,-0.16,0.4933333333333334,0.0366647960615246,filler_control
32,30,0.2538387919270272,0.1325599767898356,5.466666666666667,1.547708725455334,5.066666666666666,1.2576204496597132,1.0,0.0,0.0,0.0,0.2064028134470597,0.3012747704069946,4.912826212165422,6.020507121167912,4.616632968481835,5.516700364851498,0.0,0.0,0.0202030508910442,filler_control
