patient_id,repetition,n_runs,semantic_pairwise_jaccard_distance_mean,hallucination_std,omission_std,sds_std,raw_json_valid_rate,repair_rate
patient_01,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_01,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_01,16,3,0.180603030692668,0.0,0.4714045207910317,0.0,1.0,0.0
patient_02,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_02,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_02,16,3,1.1102230246251565e-16,0.0,0.0,0.0,1.0,0.0
patient_03,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_03,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_03,16,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_04,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_04,10,3,1.1102230246251565e-16,0.0,0.0,0.0,1.0,0.0
patient_04,16,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_05,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_05,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_05,16,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_06,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_06,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_06,16,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_07,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_07,10,3,0.11785113019775792,0.4714045207910317,0.4714045207910317,0.0,1.0,0.0
patient_07,16,3,1.1102230246251565e-16,0.0,0.0,0.0,1.0,0.0
patient_08,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_08,10,3,0.10475656017578482,0.0,0.0,0.0,1.0,0.0
patient_08,16,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_09,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_09,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_09,16,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_10,5,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_10,10,3,0.0,0.0,0.0,0.0,1.0,0.0
patient_10,16,3,0.0,0.0,0.0,0.0,1.0,0.0
