doc_id,condition,repetition,run,micro_f1,fp_count,fn_count,tp_count,raw_valid_json,sds,char_count,est_tokens
news_01,redundancy,1,1,0.6956521739130435,3,4,8,1,0.0,720,180
news_01,redundancy,5,1,0.380952380952381,5,8,4,1,0.0,3600,900
news_01,redundancy,10,1,0.6666666666666666,4,4,8,1,0.0,7200,1800
news_01,redundancy,16,1,0.6666666666666666,4,4,8,1,0.0,11520,2880
news_02,redundancy,1,1,0.6086956521739131,4,5,7,1,0.0,727,182
news_02,redundancy,5,1,0.6086956521739131,4,5,7,1,0.0,3635,909
news_02,redundancy,10,1,0.5185185185185186,8,5,7,1,0.0,7270,1818
news_02,redundancy,16,1,0.5185185185185186,8,5,7,1,0.0,11632,2908
news_03,redundancy,1,1,0.4,7,8,5,1,0.0,754,189
news_03,redundancy,5,1,0.46153846153846156,7,7,6,1,0.0,3770,943
news_03,redundancy,10,1,0.46153846153846156,7,7,6,1,0.0,7540,1885
news_03,redundancy,16,1,0.5384615384615384,6,6,7,1,0.0,12064,3016
news_04,redundancy,1,1,0.6666666666666666,5,4,9,1,0.0,716,179
news_04,redundancy,5,1,0.5333333333333333,9,5,8,1,0.0,3580,895
news_04,redundancy,10,1,0.5161290322580646,10,5,8,1,0.0,7160,1790
news_04,redundancy,16,1,0.6153846153846154,5,5,8,1,0.0,11456,2864
news_05,redundancy,1,1,0.7368421052631579,1,4,7,1,0.0,750,188
news_05,redundancy,5,1,0.7368421052631579,1,4,7,1,0.0,3750,938
news_05,redundancy,10,1,0.7368421052631579,1,4,7,1,0.0,7500,1875
news_05,redundancy,16,1,0.7777777777777778,0,4,7,1,0.0,12000,3000
news_06,redundancy,1,1,0.8275862068965518,2,3,12,1,0.0,670,168
news_06,redundancy,5,1,0.7741935483870969,4,3,12,1,0.0,3350,838
news_06,redundancy,10,1,0.7741935483870969,4,3,12,1,0.0,6700,1675
news_06,redundancy,16,1,0.8000000000000002,3,3,12,1,0.0,10720,2680
news_07,redundancy,1,1,0.5217391304347826,4,7,6,1,0.0,811,203
news_07,redundancy,5,1,0.4999999999999999,5,7,6,1,0.0,4055,1014
news_07,redundancy,10,1,0.5217391304347826,4,7,6,1,0.0,8110,2028
news_07,redundancy,16,1,0.7500000000000001,2,4,9,1,0.0,12976,3244
news_08,redundancy,1,1,0.7500000000000001,2,4,9,1,0.0,747,187
news_08,redundancy,5,1,0.6923076923076923,4,4,9,1,0.0,3735,934
news_08,redundancy,10,1,0.7500000000000001,2,4,9,1,0.0,7470,1868
news_08,redundancy,16,1,0.6923076923076923,4,4,9,1,0.0,11952,2988
news_09,redundancy,1,1,0.6666666666666665,2,4,6,1,0.0,809,203
news_09,redundancy,5,1,0.6666666666666665,2,4,6,1,0.0,4045,1012
news_09,redundancy,10,1,0.6,4,4,6,1,0.0,8090,2023
news_09,redundancy,16,1,0.6,4,4,6,1,0.0,12944,3236
news_10,redundancy,1,1,0.761904761904762,1,4,8,1,0.0,849,213
news_10,redundancy,5,1,0.6956521739130435,3,4,8,1,0.0,4245,1062
news_10,redundancy,10,1,0.6956521739130435,3,4,8,1,0.0,8490,2123
news_10,redundancy,16,1,0.6956521739130435,3,4,8,1,0.0,13584,3396
news_01,filler,1,1,0.6956521739130435,3,4,8,1,0.0,720,180
news_01,filler,5,1,0.7272727272727272,2,4,8,1,0.0,3601,901
news_01,filler,10,1,0.6666666666666666,4,4,8,1,0.0,7303,1826
news_01,filler,16,1,0.6666666666666666,4,4,8,1,0.0,11521,2881
news_02,filler,1,1,0.6363636363636365,3,5,7,1,0.0,727,182
news_02,filler,5,1,0.6086956521739131,4,5,7,1,0.0,3735,934
news_02,filler,10,1,0.6086956521739131,4,5,7,1,0.0,7343,1836
news_02,filler,16,1,0.5714285714285715,3,6,6,1,0.0,11678,2920
news_03,filler,1,1,0.4,7,8,5,1,0.0,754,189
news_03,filler,5,1,0.41666666666666663,6,8,5,1,0.0,3779,945
news_03,filler,10,1,0.5833333333333334,4,6,7,1,0.0,7557,1890
news_03,filler,16,1,0.5833333333333334,4,6,7,1,0.0,12152,3038
news_04,filler,1,1,0.6666666666666666,5,4,9,1,0.0,716,179
news_04,filler,5,1,0.6153846153846154,5,5,8,1,0.0,3679,920
news_04,filler,10,1,0.5599999999999999,5,6,7,1,0.0,7260,1815
news_04,filler,16,1,0.4999999999999999,5,7,6,1,0.0,11486,2872
news_05,filler,1,1,0.7368421052631579,1,4,7,1,0.0,750,188
news_05,filler,5,1,0.7368421052631579,1,4,7,1,0.0,3750,938
news_05,filler,10,1,0.7368421052631579,1,4,7,1,0.0,7524,1881
news_05,filler,16,1,0.7368421052631579,1,4,7,1,0.0,12016,3004
news_06,filler,1,1,0.8275862068965518,2,3,12,1,0.0,670,168
news_06,filler,5,1,0.8571428571428571,1,3,12,1,0.0,3357,840
news_06,filler,10,1,0.8275862068965518,2,3,12,1,0.0,6788,1697
news_06,filler,16,1,0.8571428571428571,1,3,12,1,0.0,10794,2699
news_07,filler,1,1,0.5217391304347826,4,7,6,1,0.0,811,203
