field,repetition,tp,fp,fn,precision,recall
events,1,0,17,35,0.0,0.0
events,5,0,24,35,0.0,0.0
events,10,0,30,35,0.0,0.0
events,16,1,25,34,0.038461538461538464,0.02857142857142857
locations,1,17,9,6,0.6538461538461539,0.7391304347826086
locations,5,17,8,6,0.68,0.7391304347826086
locations,10,16,9,7,0.64,0.6956521739130435
locations,16,16,9,7,0.64,0.6956521739130435
organizations,1,32,4,5,0.8888888888888888,0.8648648648648649
organizations,5,32,8,5,0.8,0.8648648648648649
organizations,10,32,8,5,0.8,0.8648648648648649
organizations,16,32,8,5,0.8,0.8648648648648649
persons,1,26,3,3,0.896551724137931,0.896551724137931
persons,5,22,7,7,0.7586206896551724,0.7586206896551724
persons,10,26,3,3,0.896551724137931,0.896551724137931
persons,16,29,0,0,1.0,1.0
