run_id,patient_id,repetition,condition,run,raw_valid_json,repair_needed,structural_drift_score
20260523_150000,patient_01,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_01,1,filler_control,1,1,0,0.0
20260523_150000,patient_01,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_01,5,filler_control,1,1,0,0.0
20260523_150000,patient_01,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_01,10,filler_control,1,1,0,0.0
20260523_150000,patient_01,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_01,16,filler_control,1,1,0,0.0
20260523_150000,patient_02,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_02,1,filler_control,1,1,0,0.0
20260523_150000,patient_02,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_02,5,filler_control,1,1,0,0.0
20260523_150000,patient_02,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_02,10,filler_control,1,1,0,0.0
20260523_150000,patient_02,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_02,16,filler_control,1,1,0,0.0
20260523_150000,patient_03,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_03,1,filler_control,1,1,0,0.0
20260523_150000,patient_03,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_03,5,filler_control,1,1,0,0.0
20260523_150000,patient_03,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_03,10,filler_control,1,1,0,0.0
20260523_150000,patient_03,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_03,16,filler_control,1,1,0,0.0
20260523_150000,patient_04,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_04,1,filler_control,1,1,0,0.0
20260523_150000,patient_04,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_04,5,filler_control,1,1,0,0.0
20260523_150000,patient_04,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_04,10,filler_control,1,1,0,0.0
20260523_150000,patient_04,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_04,16,filler_control,1,1,0,0.0
20260523_150000,patient_05,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_05,1,filler_control,1,1,0,0.0
20260523_150000,patient_05,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_05,5,filler_control,1,1,0,0.0
20260523_150000,patient_05,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_05,10,filler_control,1,1,0,0.0
20260523_150000,patient_05,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_05,16,filler_control,1,1,0,0.0
20260523_150000,patient_06,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_06,1,filler_control,1,1,0,0.0
20260523_150000,patient_06,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_06,5,filler_control,1,1,0,0.0
20260523_150000,patient_06,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_06,10,filler_control,1,1,0,0.0
20260523_150000,patient_06,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_06,16,filler_control,1,1,0,0.0
20260523_150000,patient_07,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_07,1,filler_control,1,1,0,0.0
20260523_150000,patient_07,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_07,5,filler_control,1,1,0,0.0
20260523_150000,patient_07,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_07,10,filler_control,1,1,0,0.0
20260523_150000,patient_07,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_07,16,filler_control,1,1,0,0.0
20260523_150000,patient_08,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_08,1,filler_control,1,1,0,0.0
20260523_150000,patient_08,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_08,5,filler_control,1,1,0,0.0
20260523_150000,patient_08,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_08,10,filler_control,1,1,0,0.0
20260523_150000,patient_08,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_08,16,filler_control,1,1,0,0.0
20260523_150000,patient_09,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_09,1,filler_control,1,1,0,0.0
20260523_150000,patient_09,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_09,5,filler_control,1,1,0,0.0
20260523_150000,patient_09,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_09,10,filler_control,1,1,0,0.0
20260523_150000,patient_09,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_09,16,filler_control,1,1,0,0.0
20260523_150000,patient_10,1,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_10,1,filler_control,1,1,0,0.0
20260523_150000,patient_10,5,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_10,5,filler_control,1,1,0,0.0
20260523_150000,patient_10,10,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_10,10,filler_control,1,1,0,0.0
20260523_150000,patient_10,16,paraphrased_redundancy,1,1,0,0.0
20260523_150000,patient_10,16,filler_control,1,1,0,0.0
