run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260520_172210,patient_01,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:22:10.609497,1,719,180,1,redundancy
20260520_172210,patient_01,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:22:35.803384,1,719,180,1,redundancy
20260520_172210,patient_01,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:23:01.011965,1,719,180,1,redundancy
20260520_172210,patient_01,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:23:26.380822,1,1439,360,2,redundancy
20260520_172210,patient_01,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:23:51.554651,1,1439,360,2,redundancy
20260520_172210,patient_01,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:24:16.788663,1,1439,360,2,redundancy
20260520_172210,patient_01,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:24:42.289418,3,3599,900,5,redundancy
20260520_172210,patient_01,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:25:07.549545,3,3599,900,5,redundancy
20260520_172210,patient_01,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:25:32.790244,3,3599,900,5,redundancy
20260520_172210,patient_01,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:25:58.609370,5,7199,1800,10,redundancy
20260520_172210,patient_01,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:26:23.855659,5,7199,1800,10,redundancy
20260520_172210,patient_01,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:26:49.097032,5,7199,1800,10,redundancy
20260520_172210,patient_01,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:27:14.665820,8,11519,2880,16,redundancy
20260520_172210,patient_01,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:27:39.926319,8,11519,2880,16,redundancy
20260520_172210,patient_01,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:28:05.145732,8,11519,2880,16,redundancy
20260520_172210,patient_01,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:28:31.237105,16,23039,5760,32,redundancy
20260520_172210,patient_01,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:28:56.500093,16,23039,5760,32,redundancy
20260520_172210,patient_01,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:29:21.707212,16,23039,5760,32,redundancy
20260520_172210,patient_02,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:29:46.956522,1,541,136,1,redundancy
20260520_172210,patient_02,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:30:12.171055,1,541,136,1,redundancy
20260520_172210,patient_02,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:30:37.390613,1,541,136,1,redundancy
20260520_172210,patient_02,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:31:02.656238,1,1083,271,2,redundancy
20260520_172210,patient_02,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:31:27.864551,1,1083,271,2,redundancy
20260520_172210,patient_02,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:31:53.101141,1,1083,271,2,redundancy
20260520_172210,patient_02,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:32:19.006219,3,2709,678,5,redundancy
20260520_172210,patient_02,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:32:44.273856,3,2709,678,5,redundancy
20260520_172210,patient_02,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:33:09.505613,3,2709,678,5,redundancy
20260520_172210,patient_02,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:33:35.012412,5,5419,1355,10,redundancy
20260520_172210,patient_02,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:34:00.237623,5,5419,1355,10,redundancy
20260520_172210,patient_02,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:34:25.427802,5,5419,1355,10,redundancy
20260520_172210,patient_02,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:34:51.377642,8,8671,2168,16,redundancy
20260520_172210,patient_02,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:35:16.602509,8,8671,2168,16,redundancy
20260520_172210,patient_02,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:35:41.816608,8,8671,2168,16,redundancy
20260520_172210,patient_02,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:36:08.177261,16,17343,4336,32,redundancy
20260520_172210,patient_02,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:36:33.417403,16,17343,4336,32,redundancy
20260520_172210,patient_02,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:36:58.599292,16,17343,4336,32,redundancy
20260520_172210,patient_03,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:37:24.105623,1,578,145,1,redundancy
20260520_172210,patient_03,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:37:49.367840,1,578,145,1,redundancy
20260520_172210,patient_03,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:38:14.648901,1,578,145,1,redundancy
20260520_172210,patient_03,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:38:40.143870,1,1157,290,2,redundancy
20260520_172210,patient_03,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:39:05.398927,1,1157,290,2,redundancy
20260520_172210,patient_03,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:39:30.582303,1,1157,290,2,redundancy
20260520_172210,patient_03,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:39:56.104034,3,2894,724,5,redundancy
20260520_172210,patient_03,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:40:21.333869,3,2894,724,5,redundancy
20260520_172210,patient_03,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:40:46.537915,3,2894,724,5,redundancy
20260520_172210,patient_03,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:41:12.066229,5,5789,1448,10,redundancy
20260520_172210,patient_03,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:41:37.310529,5,5789,1448,10,redundancy
20260520_172210,patient_03,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:42:02.532834,5,5789,1448,10,redundancy
20260520_172210,patient_03,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-20T17:42:28.611092,8,9263,2316,16,redundancy
