patient_id,repetition,n_runs,semantic_pairwise_jaccard_distance_mean,hallucination_std,omission_std,sds_std,raw_json_valid_rate,repair_rate
patient_01,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_01,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_01,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_01,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_01,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_01,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_02,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_02,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_02,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_02,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_02,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_02,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_03,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_03,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_03,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_03,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_03,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_03,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_04,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_04,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_04,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_04,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_04,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_04,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_05,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_05,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_05,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_05,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_05,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_05,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_06,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_06,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_06,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_06,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_06,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_06,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_07,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_07,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_07,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_07,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_07,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_07,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_08,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_08,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_08,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_08,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_08,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_08,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_09,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_09,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_09,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_09,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_09,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_09,32,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_10,1,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_10,2,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_10,5,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_10,10,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_10,16,3,0.0,0.0,0.0,0.0,0.0,1.0
patient_10,32,3,0.0,0.0,0.0,0.0,0.0,1.0
