patient_id,repetition,run,raw_valid_json,repair_needed,schema_match,structural_drift_score,semantic_pairwise_jaccard_distance,run_id,model,timestamp,ok,status_code,latency_s,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,extracted_entities_n
patient_99,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_99,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_99,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_99,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_98,5,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_98,1,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_98,16,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_98,10,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_97,5,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_97,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_97,16,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_97,10,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_96,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_96,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_96,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_96,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_95,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_95,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_95,16,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_95,10,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_94,5,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_94,1,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_94,16,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_94,10,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_93,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_93,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_93,16,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_93,10,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_92,5,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_92,1,1,1,0,1,0.0,0.9230769230769231,,,,,,,,,,,
patient_92,16,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_92,10,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_91,5,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_91,1,1,1,0,1,0.0,0.8666666666666667,,,,,,,,,,,
patient_91,16,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_91,10,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_90,5,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_90,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_90,16,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_90,10,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_89,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_89,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_89,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_89,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_88,5,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_88,1,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_88,16,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_88,10,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_87,5,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_87,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_87,16,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_87,10,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_86,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_86,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_86,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_86,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_85,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_85,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_85,16,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_85,10,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_84,5,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_84,1,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_84,16,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_84,10,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_83,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_83,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_83,16,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_83,10,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_82,5,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_82,1,1,1,0,1,0.0,0.9230769230769231,,,,,,,,,,,
patient_82,16,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_82,10,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_81,5,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_81,1,1,1,0,1,0.0,0.8666666666666667,,,,,,,,,,,
patient_81,16,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_81,10,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_80,5,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_80,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_80,16,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_80,10,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_79,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_79,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_79,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_79,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_78,5,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_78,1,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_78,16,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_78,10,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_77,5,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_77,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_77,16,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_77,10,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_76,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_76,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_76,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_76,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_75,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_75,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_75,16,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_75,10,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_74,5,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_74,1,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_74,16,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_74,10,1,1,0,1,0.0,0.5,,,,,,,,,,,
patient_73,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_73,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_73,16,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_73,10,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_72,5,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_72,1,1,1,0,1,0.0,0.9230769230769231,,,,,,,,,,,
patient_72,16,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_72,10,1,1,0,1,0.0,0.4444444444444444,,,,,,,,,,,
patient_71,5,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_71,1,1,1,0,1,0.0,0.8666666666666667,,,,,,,,,,,
patient_71,16,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_71,10,1,1,0,1,0.0,0.6153846153846154,,,,,,,,,,,
patient_70,5,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_70,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_70,16,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_70,10,1,1,0,1,0.0,0.7272727272727273,,,,,,,,,,,
patient_69,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_69,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_69,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_69,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_68,5,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_68,1,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_68,16,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_68,10,1,1,0,1,0.0,0.6923076923076923,,,,,,,,,,,
patient_67,5,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_67,1,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_67,16,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_67,10,1,1,0,1,0.0,0.6,,,,,,,,,,,
patient_66,5,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_66,1,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_66,16,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_66,10,1,1,0,1,0.0,0.5714285714285714,,,,,,,,,,,
patient_65,5,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
patient_65,1,1,1,0,1,0.0,0.7142857142857143,,,,,,,,,,,
