run_id,patient_id,repetition,prompt,condition,raw_valid_json,repair_needed,structural_drift_score
20260523_132009,patient_01,1,promptA,redundancy,1,0,0.0
20260523_132009,patient_01,1,promptA,filler_control,1,0,0.0
20260523_132009,patient_01,1,promptB,redundancy,1,0,0.0
20260523_132009,patient_01,1,promptB,filler_control,1,0,0.0
20260523_132009,patient_01,5,promptA,redundancy,1,0,0.0
20260523_132009,patient_01,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_01,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_01,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_01,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_01,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_01,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_01,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_01,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_01,16,promptA,filler_control,1,0,0.0
20260523_132009,patient_01,16,promptB,redundancy,1,0,0.0
20260523_132009,patient_01,16,promptB,filler_control,1,0,0.0
20260523_132009,patient_02,1,promptA,redundancy,1,0,0.0
20260523_132009,patient_02,1,promptA,filler_control,1,0,0.0
20260523_132009,patient_02,1,promptB,redundancy,1,0,0.0
20260523_132009,patient_02,1,promptB,filler_control,1,0,0.0
20260523_132009,patient_02,5,promptA,redundancy,1,0,0.0
20260523_132009,patient_02,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_02,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_02,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_02,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_02,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_02,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_02,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_02,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_02,16,promptA,filler_control,1,0,0.0
20260523_132009,patient_02,16,promptB,redundancy,1,0,0.0
20260523_132009,patient_02,16,promptB,filler_control,1,0,0.0
20260523_132009,patient_03,1,promptA,redundancy,1,0,0.0
20260523_132009,patient_03,1,promptA,filler_control,1,0,0.0
20260523_132009,patient_03,1,promptB,redundancy,1,0,0.0
20260523_132009,patient_03,1,promptB,filler_control,1,0,0.0
20260523_132009,patient_03,5,promptA,redundancy,1,0,0.0
20260523_132009,patient_03,5,promptA,filler_control,1,0,0.0
20260523_132009,patient_03,5,promptB,redundancy,1,0,0.0
20260523_132009,patient_03,5,promptB,filler_control,1,0,0.0
20260523_132009,patient_03,10,promptA,redundancy,1,0,0.0
20260523_132009,patient_03,10,promptA,filler_control,1,0,0.0
20260523_132009,patient_03,10,promptB,redundancy,1,0,0.0
20260523_132009,patient_03,10,promptB,filler_control,1,0,0.0
20260523_132009,patient_03,16,promptA,redundancy,1,0,0.0
20260523_132009,patient_03,16,promptA,filler_control,1,0,0.0
