repetition,n,f1_mean,omission_mean,halluc_mean,prompt,condition
1,10,0.48018674136321193,3.9,3.6,promptA,filler_control
5,10,0.5098926237161531,3.8,3.4,promptA,filler_control
10,10,0.4745985060690943,4.1,3.7,promptA,filler_control
16,10,0.4459080298786181,4.3,4.0,promptA,filler_control
1,10,0.46989262371615315,4.0,3.6,promptA,redundancy
5,10,0.3249556489262372,5.0,4.6,promptA,redundancy
10,10,0.3205298786181139,5.0,4.7,promptA,redundancy
16,10,0.2919584500466853,5.2,4.9,promptA,redundancy
1,10,0.4046940881615805,4.5,4.3,promptB,filler_control
5,10,0.4091830065359477,4.6,4.3,promptB,filler_control
10,10,0.31652194211017737,5.1,4.8,promptB,filler_control
16,10,0.2804925303454715,5.4,5.1,promptB,filler_control
1,10,0.4046940881615805,4.5,4.3,promptB,redundancy
5,10,0.30338702147525676,5.2,4.9,promptB,redundancy
10,10,0.34910130718954246,4.8,4.5,promptB,redundancy
16,10,0.27926003734827265,5.3,5.0,promptB,redundancy
1,10,0.4670354808590102,4.1,3.7,promptC,filler_control
5,10,0.45274976657329596,4.2,3.8,promptC,filler_control
10,10,0.4474895855778208,4.3,3.8,promptC,filler_control
16,10,0.4015196078431372,4.5,4.2,promptC,filler_control
1,10,0.4670354808590102,4.1,3.7,promptC,redundancy
5,10,0.35034672843496373,4.9,4.4,promptC,redundancy
10,10,0.33034672843496377,5.0,4.5,promptC,redundancy
16,10,0.34275210084033614,4.9,4.5,promptC,redundancy
