run_id,patient_id,condition,repetition,run,raw_valid_json,repair_needed,structural_drift_score
20260522_224913,patient_01,filler_control,1,1,1,0,0.0
20260522_224913,patient_01,filler_control,5,1,1,0,0.0
20260522_224913,patient_01,filler_control,10,1,1,0,0.0
20260522_224913,patient_01,filler_control,16,1,1,0,0.0
20260522_224913,patient_02,filler_control,1,1,1,0,0.0
20260522_224913,patient_02,filler_control,5,1,1,0,0.0
20260522_224913,patient_02,filler_control,10,1,1,0,0.0
20260522_224913,patient_02,filler_control,16,1,1,0,0.0
20260522_224913,patient_03,filler_control,1,1,1,0,0.0
20260522_224913,patient_03,filler_control,5,1,1,0,0.0
20260522_224913,patient_03,filler_control,10,1,1,0,0.0
20260522_224913,patient_03,filler_control,16,1,1,0,0.0
20260522_224913,patient_04,filler_control,1,1,1,0,0.0
20260522_224913,patient_04,filler_control,5,1,1,0,0.0
20260522_224913,patient_04,filler_control,10,1,1,0,0.0
20260522_224913,patient_04,filler_control,16,1,1,0,0.0
20260522_224913,patient_05,filler_control,1,1,1,0,0.0
20260522_224913,patient_05,filler_control,5,1,1,0,0.0
20260522_224913,patient_05,filler_control,10,1,1,0,0.0
20260522_224913,patient_05,filler_control,16,1,1,0,0.0
20260522_224913,patient_06,filler_control,1,1,1,0,0.0
20260522_224913,patient_06,filler_control,5,1,1,0,0.0
20260522_224913,patient_06,filler_control,10,1,1,0,0.0
20260522_224913,patient_06,filler_control,16,1,1,0,0.0
20260522_224913,patient_07,filler_control,1,1,1,0,0.0
20260522_224913,patient_07,filler_control,5,1,1,0,0.0
20260522_224913,patient_07,filler_control,10,1,1,0,0.0
20260522_224913,patient_07,filler_control,16,1,1,0,0.0
20260522_224913,patient_08,filler_control,1,1,1,0,0.0
20260522_224913,patient_08,filler_control,5,1,1,0,0.0
20260522_224913,patient_08,filler_control,10,1,1,0,0.0
20260522_224913,patient_08,filler_control,16,1,1,0,0.0
20260522_224913,patient_09,filler_control,1,1,1,0,0.0
20260522_224913,patient_09,filler_control,5,1,1,0,0.0
20260522_224913,patient_09,filler_control,10,1,1,0,0.0
20260522_224913,patient_09,filler_control,16,1,1,0,0.0
20260522_224913,patient_10,filler_control,1,1,1,0,0.0
20260522_224913,patient_10,filler_control,5,1,1,0,0.0
20260522_224913,patient_10,filler_control,10,1,1,0,0.0
20260522_224913,patient_10,filler_control,16,1,1,0,0.0
20260522_224913,patient_11,filler_control,1,1,1,0,0.0
20260522_224913,patient_11,filler_control,5,1,1,0,0.0
20260522_224913,patient_11,filler_control,10,1,1,0,0.0
20260522_224913,patient_11,filler_control,16,1,1,0,0.0
20260522_224913,patient_12,filler_control,1,1,1,0,0.0
20260522_224913,patient_12,filler_control,5,1,1,0,0.0
20260522_224913,patient_12,filler_control,10,1,1,0,0.0
20260522_224913,patient_12,filler_control,16,1,1,0,0.0
20260522_224913,patient_13,filler_control,1,1,1,0,0.0
20260522_224913,patient_13,filler_control,5,1,1,0,0.0
20260522_224913,patient_13,filler_control,10,1,1,0,0.0
20260522_224913,patient_13,filler_control,16,1,1,0,0.0
20260522_224913,patient_14,filler_control,1,1,1,0,0.0
20260522_224913,patient_14,filler_control,5,1,1,0,0.0
20260522_224913,patient_14,filler_control,10,1,1,0,0.0
20260522_224913,patient_14,filler_control,16,1,1,0,0.0
20260522_224913,patient_15,filler_control,1,1,1,0,0.0
20260522_224913,patient_15,filler_control,5,1,1,0,0.0
20260522_224913,patient_15,filler_control,10,1,1,0,0.0
20260522_224913,patient_15,filler_control,16,1,1,0,0.0
20260522_224913,patient_16,filler_control,1,1,1,0,0.0
20260522_224913,patient_16,filler_control,5,1,1,0,0.0
20260522_224913,patient_16,filler_control,10,1,1,0,0.0
20260522_224913,patient_16,filler_control,16,1,1,0,0.0
20260522_224913,patient_17,filler_control,1,1,1,0,0.0
20260522_224913,patient_17,filler_control,5,1,1,0,0.0
20260522_224913,patient_17,filler_control,10,1,1,0,0.0
20260522_224913,patient_17,filler_control,16,1,1,0,0.0
20260522_224913,patient_18,filler_control,1,1,1,0,0.0
20260522_224913,patient_18,filler_control,5,1,1,0,0.0
20260522_224913,patient_18,filler_control,10,1,1,0,0.0
20260522_224913,patient_18,filler_control,16,1,1,0,0.0
20260522_224913,patient_19,filler_control,1,1,1,0,0.0
20260522_224913,patient_19,filler_control,5,1,1,0,0.0
20260522_224913,patient_19,filler_control,10,1,1,0,0.0
20260522_224913,patient_19,filler_control,16,1,1,0,0.0
