patient_id,repetition,target_est_tokens,section_doc_chars,filler_doc_chars
patient_01,1,184,735,735
patient_01,5,336,1343,1403
patient_01,10,526,2103,2198
patient_01,16,754,3015,3097
patient_02,1,139,553,553
patient_02,5,252,1005,1045
patient_02,10,393,1570,1628
patient_02,16,562,2248,2315
patient_03,1,147,588,588
patient_03,5,361,1444,1452
patient_03,10,629,2514,2522
patient_03,16,950,3798,3808
patient_04,1,100,399,399
patient_04,5,183,731,793
patient_04,10,287,1146,1187
patient_04,16,411,1644,1672
patient_05,1,128,510,510
patient_05,5,331,1322,1401
patient_05,10,585,2337,2378
patient_05,16,889,3555,3558
patient_06,1,99,395,395
patient_06,5,191,763,789
patient_06,10,306,1223,1272
patient_06,16,444,1775,1776
patient_07,1,111,442,442
patient_07,5,221,882,933
patient_07,10,358,1432,1520
patient_07,16,523,2092,2099
patient_08,1,139,554,554
patient_08,5,380,1518,1535
patient_08,10,681,2723,2813
patient_08,16,1043,4169,4241
patient_09,1,94,373,373
patient_09,5,230,917,962
patient_09,10,400,1597,1641
patient_09,16,604,2413,2447
patient_10,1,127,508,508
patient_10,5,277,1108,1192
patient_10,10,465,1858,1866
patient_10,16,690,2758,2758
patient_11,1,184,735,735
patient_11,5,336,1343,1414
patient_11,10,526,2103,2190
patient_11,16,754,3015,3098
patient_12,1,139,553,553
patient_12,5,252,1005,1047
patient_12,10,393,1570,1617
patient_12,16,562,2248,2332
patient_13,1,147,588,588
patient_13,5,361,1444,1454
patient_13,10,629,2514,2521
patient_13,16,950,3798,3872
patient_14,1,100,399,399
patient_14,5,183,731,790
patient_14,10,287,1146,1184
patient_14,16,411,1644,1673
patient_15,1,128,510,510
patient_15,5,331,1322,1376
patient_15,10,585,2337,2350
patient_15,16,889,3555,3638
patient_16,1,99,395,395
patient_16,5,191,763,786
patient_16,10,306,1223,1272
patient_16,16,444,1775,1780
patient_17,1,111,442,442
patient_17,5,221,882,926
patient_17,10,358,1432,1515
patient_17,16,523,2092,2119
patient_18,1,139,554,554
patient_18,5,380,1518,1532
patient_18,10,681,2723,2806
patient_18,16,1043,4169,4268
patient_19,1,94,373,373
patient_19,5,230,917,959
patient_19,10,400,1597,1638
patient_19,16,604,2413,2434
patient_20,1,127,508,508
patient_20,5,277,1108,1182
patient_20,10,465,1858,1864
patient_20,16,690,2758,2844
patient_21,1,184,735,735
patient_21,5,336,1343,1406
patient_21,10,526,2103,2191
patient_21,16,754,3015,3068
patient_22,1,139,553,553
patient_22,5,252,1005,1047
patient_22,10,393,1570,1639
patient_22,16,562,2248,2308
patient_23,1,147,588,588
patient_23,5,361,1444,1462
patient_23,10,629,2514,2556
patient_23,16,950,3798,3840
patient_24,1,100,399,399
patient_24,5,183,731,793
patient_24,10,287,1146,1178
patient_24,16,411,1644,1672
patient_25,1,128,510,510
patient_25,5,331,1322,1398
patient_25,10,585,2337,2383
patient_25,16,889,3555,3643
patient_26,1,99,395,395
patient_26,5,191,763,775
patient_26,10,306,1223,1283
patient_26,16,444,1775,1855
patient_27,1,111,442,442
patient_27,5,221,882,931
patient_27,10,358,1432,1510
patient_27,16,523,2092,2104
patient_28,1,139,554,554
patient_28,5,380,1518,1526
patient_28,10,681,2723,2812
patient_28,16,1043,4169,4257
patient_29,1,94,373,373
patient_29,5,230,917,973
patient_29,10,400,1597,1649
patient_29,16,604,2413,2444
patient_30,1,127,508,508
patient_30,5,277,1108,1195
