repetition,entity_type,n,persistence_mean,persistence_ci_low,persistence_ci_high
1,conditions,30,1.0,1.0,1.0
2,conditions,30,0.9,0.7666666666666667,1.0
5,conditions,30,0.7666666666666667,0.6166666666666667,0.9
10,conditions,30,0.85,0.7166666666666667,0.95
16,conditions,30,0.9,0.7666666666666667,1.0
32,conditions,30,0.9,0.7666666666666667,1.0
1,medications,30,0.9666666666666667,0.9,1.0
2,medications,30,0.85,0.7333333333333333,0.95
5,medications,30,0.48333333333333334,0.31666666666666665,0.65
10,medications,30,0.43333333333333335,0.26666666666666666,0.6
16,medications,30,0.43333333333333335,0.26666666666666666,0.6
32,medications,30,0.3,0.13333333333333333,0.4666666666666667
1,observations,30,0.9666666666666667,0.9,1.0
2,observations,30,0.9,0.7666666666666667,1.0
5,observations,30,0.5166666666666667,0.3333333333333333,0.7
10,observations,30,0.36666666666666664,0.2,0.5333333333333333
16,observations,30,0.35,0.2,0.5166666666666667
32,observations,30,0.25,0.11666666666666667,0.4
1,procedures,30,0.6666666666666666,0.5,0.8333333333333334
2,procedures,30,0.7,0.5333333333333333,0.8666666666666667
5,procedures,30,0.4,0.23333333333333334,0.5666666666666667
10,procedures,30,0.4,0.23333333333333334,0.5666666666666667
16,procedures,30,0.4,0.23333333333333334,0.5666666666666667
32,procedures,30,0.4,0.23333333333333334,0.5666666666666667
