path,prompt_tokens,completion_tokens,total_tokens,latency_s,ok,status_code
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_5x/run_01,679,109,788,4.928008,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_5x/run_02,679,116,795,4.587186,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_5x/run_03,679,116,795,7.292531,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_32x/run_01,3007,182,3189,7.620026,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_32x/run_02,3007,182,3189,7.449962,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_32x/run_03,3007,182,3189,6.689342,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_2x/run_01,421,109,530,5.214522,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_2x/run_02,421,109,530,7.61176,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_2x/run_03,421,109,530,6.565548,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_1x/run_01,322,109,431,5.211553,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_1x/run_02,322,109,431,5.433588,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_1x/run_03,322,109,431,4.732076,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_16x/run_01,1645,116,1761,14.922741,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_16x/run_02,1645,116,1761,5.120399,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_16x/run_03,1645,116,1761,4.569941,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_10x/run_01,1144,116,1260,6.421174,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_10x/run_02,1144,116,1260,4.780137,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_10/rep_10x/run_03,1144,116,1260,4.740741,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_5x/run_01,537,89,626,6.213774,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_5x/run_02,537,89,626,3.965577,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_5x/run_03,537,89,626,4.314149,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_32x/run_01,2269,182,2451,13.553721,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_32x/run_02,2269,189,2458,15.062031,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_32x/run_03,2269,189,2458,11.831689,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_2x/run_01,339,89,428,5.356539,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_2x/run_02,339,89,428,9.65201,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_2x/run_03,339,89,428,4.048092,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_1x/run_01,270,146,416,8.564327,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_1x/run_02,270,93,363,5.630359,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_1x/run_03,270,146,416,14.66474,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_16x/run_01,1267,89,1356,10.58504,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_16x/run_02,1267,89,1356,6.202012,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_16x/run_03,1267,89,1356,5.838761,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_10x/run_01,859,89,948,3.962219,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_10x/run_02,859,89,948,4.316229,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_09/rep_10x/run_03,859,89,948,4.895315,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_5x/run_01,724,122,846,4.68445,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_5x/run_02,724,122,846,4.684378,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_5x/run_03,724,122,846,4.284535,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_32x/run_01,3279,148,3427,8.764178,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_32x/run_02,3279,148,3427,8.993358,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_32x/run_03,3279,148,3427,12.211944,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_2x/run_01,428,124,552,6.861389,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_2x/run_02,428,122,550,6.285157,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_2x/run_03,428,124,552,6.352085,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_1x/run_01,333,124,457,6.806079,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_1x/run_02,333,124,457,6.33041,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_1x/run_03,333,124,457,6.549599,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_16x/run_01,1792,123,1915,15.674037,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_16x/run_02,1792,122,1914,8.058677,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_16x/run_03,1792,122,1914,7.984555,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_10x/run_01,1185,122,1307,5.855593,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_10x/run_02,1185,122,1307,5.736052,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_08/rep_10x/run_03,1185,122,1307,8.695164,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_5x/run_01,636,98,734,19.640564,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_5x/run_02,636,98,734,5.274041,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_5x/run_03,636,98,734,4.957777,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_32x/run_01,2629,122,2751,3.997743,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_32x/run_02,2629,122,2751,6.312366,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_32x/run_03,2629,122,2751,3.603722,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_2x/run_01,382,98,480,4.18222,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_2x/run_02,382,98,480,4.222996,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_2x/run_03,382,98,480,5.234986,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_1x/run_01,299,98,397,4.707254,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_1x/run_02,299,98,397,4.24701,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_1x/run_03,299,98,397,4.066223,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_16x/run_01,1455,98,1553,5.312151,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_16x/run_02,1455,98,1553,4.827815,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_16x/run_03,1455,98,1553,3.472044,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_10x/run_01,979,98,1077,5.283911,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_07/rep_10x/run_02,979,98,1077,5.617872,True,200
