path,prompt_tokens,completion_tokens,total_tokens,latency_s,ok,status_code
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_5x/run_01,1042,109,1151,6.678802,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_5x/run_02,1042,109,1151,6.328324,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_5x/run_03,1042,109,1151,5.295265,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_32x/run_01,5902,174,6076,10.104138,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_32x/run_02,5902,174,6076,9.241235,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_32x/run_03,5902,174,6076,9.933833,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_2x/run_01,502,109,611,6.447678,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_2x/run_02,502,109,611,7.170469,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_2x/run_03,502,109,611,7.149857,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_1x/run_01,322,109,431,4.061175,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_1x/run_02,322,109,431,5.001294,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_1x/run_03,322,109,431,3.519695,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_16x/run_01,3022,189,3211,8.908524,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_16x/run_02,3022,189,3211,11.437828,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_16x/run_03,3022,189,3211,11.874091,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_10x/run_01,1942,150,2092,8.489016,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_10x/run_02,1942,189,2131,8.559913,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_10/rep_10x/run_03,1942,189,2131,8.63245,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_5x/run_01,782,150,932,9.187058,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_5x/run_02,782,150,932,10.983608,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_5x/run_03,782,150,932,7.303664,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_32x/run_01,4238,182,4420,94.884411,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_32x/run_02,4238,182,4420,102.89956,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_32x/run_03,4238,182,4420,15.17124,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_2x/run_01,398,150,548,4.776993,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_2x/run_02,398,150,548,9.190922,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_2x/run_03,398,150,548,9.100549,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_1x/run_01,270,93,363,6.521665,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_1x/run_02,270,146,416,5.374648,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_1x/run_03,270,93,363,3.239418,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_16x/run_01,2190,143,2333,6.966276,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_16x/run_02,2190,143,2333,7.216091,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_16x/run_03,2190,143,2333,7.607722,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_10x/run_01,1422,147,1569,6.967792,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_10x/run_02,1422,147,1569,7.206432,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_09/rep_10x/run_03,1422,147,1569,7.261176,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_5x/run_01,1097,124,1221,3.384058,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_5x/run_02,1097,122,1219,3.381917,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_5x/run_03,1097,122,1219,3.036658,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_32x/run_01,6254,148,6402,4.005037,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_32x/run_02,6254,148,6402,4.404761,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_32x/run_03,6254,148,6402,3.968275,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_2x/run_01,524,124,648,2.70521,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_2x/run_02,524,124,648,3.195097,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_2x/run_03,524,124,648,3.236712,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_1x/run_01,333,124,457,3.445888,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_1x/run_02,333,124,457,3.358657,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_1x/run_03,333,124,457,2.846314,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_16x/run_01,3198,130,3328,3.838949,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_16x/run_02,3198,130,3328,3.920556,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_16x/run_03,3198,130,3328,4.244471,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_10x/run_01,2052,122,2174,3.205009,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_10x/run_02,2052,122,2174,3.92491,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_08/rep_10x/run_03,2052,122,2174,3.580547,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_5x/run_01,927,112,1039,3.449937,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_5x/run_02,927,112,1039,3.252246,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_5x/run_03,927,112,1039,3.115236,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_32x/run_01,5166,224,5390,5.775137,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_32x/run_02,5166,224,5390,6.98471,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_32x/run_03,5166,224,5390,6.072117,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_2x/run_01,456,107,563,3.266471,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_2x/run_02,456,107,563,2.747619,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_2x/run_03,456,107,563,11.161381,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_1x/run_01,299,98,397,3.233442,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_1x/run_02,299,98,397,3.26546,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_1x/run_03,299,98,397,3.787001,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_16x/run_01,2654,210,2864,5.722954,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_16x/run_02,2654,210,2864,4.993969,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_16x/run_03,2654,212,2866,5.627706,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_10x/run_01,1712,172,1884,4.693705,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_10x/run_02,1712,112,1824,4.586092,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_07/rep_10x/run_03,1712,112,1824,3.592792,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_5x/run_01,847,157,1004,5.267957,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_5x/run_02,847,157,1004,4.302735,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_5x/run_03,847,157,1004,5.900277,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_32x/run_01,4654,194,4848,4.571993,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_32x/run_02,4654,194,4848,4.731805,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_32x/run_03,4654,194,4848,5.089243,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_2x/run_01,424,91,515,3.768427,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_2x/run_02,424,91,515,4.535945,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_2x/run_03,424,91,515,3.088806,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_1x/run_01,283,91,374,3.533004,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_1x/run_02,283,91,374,3.491716,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_1x/run_03,283,91,374,2.924856,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_16x/run_01,2398,151,2549,3.886628,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_16x/run_02,2398,151,2549,3.515221,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_16x/run_03,2398,151,2549,3.883977,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_10x/run_01,1552,151,1703,3.608812,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_10x/run_02,1552,157,1709,4.423455,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_06/rep_10x/run_03,1552,151,1703,4.452733,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_5x/run_01,1057,168,1225,4.02607,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_5x/run_02,1057,168,1225,3.882286,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_5x/run_03,1057,168,1225,4.794339,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_32x/run_01,5998,245,6243,7.501595,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_32x/run_02,5998,245,6243,7.786948,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_32x/run_03,5998,245,6243,8.462158,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_2x/run_01,508,109,617,2.89526,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_2x/run_02,508,109,617,2.774966,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_2x/run_03,508,109,617,2.530152,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_1x/run_01,325,109,434,2.819999,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_1x/run_02,325,109,434,2.655469,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_1x/run_03,325,109,434,3.880056,True,200
data/runs/full_pilot_20260520_192127/outputs/patient_05/rep_16x/run_01,3070,174,3244,4.544698,True,200
