patient_id,condition,repetition,F1_drop,omission_rise,hallucination_rise
patient_01,filler_control,5,-0.1397058823529412,-1.0,-2.0
patient_02,filler_control,5,0.0,0.0,0.0
patient_03,filler_control,5,0.0,0.0,0.0
patient_04,filler_control,5,0.0,0.0,0.0
patient_05,filler_control,5,0.0,0.0,0.0
patient_06,filler_control,5,0.0,0.0,0.0
patient_07,filler_control,5,0.0,0.0,0.0
patient_08,filler_control,5,0.0,0.0,0.0
patient_09,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_10,filler_control,5,0.0,0.0,0.0
patient_100,filler_control,5,0.0,0.0,0.0
patient_11,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_12,filler_control,5,0.0,0.0,0.0
patient_13,filler_control,5,0.0,0.0,0.0
patient_14,filler_control,5,0.0,0.0,0.0
patient_15,filler_control,5,0.0,0.0,0.0
patient_16,filler_control,5,0.0,0.0,0.0
patient_17,filler_control,5,0.0,0.0,0.0
patient_18,filler_control,5,0.0,0.0,0.0
patient_19,filler_control,5,0.39999999999999997,2.0,2.0
patient_20,filler_control,5,0.0,0.0,0.0
patient_21,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_22,filler_control,5,0.0,0.0,0.0
patient_23,filler_control,5,0.0,0.0,0.0
patient_24,filler_control,5,0.0,0.0,0.0
patient_25,filler_control,5,0.0,0.0,0.0
patient_26,filler_control,5,0.0,0.0,0.0
patient_27,filler_control,5,0.0,0.0,0.0
patient_28,filler_control,5,0.0,0.0,0.0
patient_29,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_30,filler_control,5,0.0,0.0,0.0
patient_31,filler_control,5,-0.1397058823529412,-1.0,-2.0
patient_32,filler_control,5,0.0,0.0,0.0
patient_33,filler_control,5,0.0,0.0,0.0
patient_34,filler_control,5,0.0,0.0,0.0
patient_35,filler_control,5,0.0,0.0,0.0
patient_36,filler_control,5,0.0,0.0,0.0
patient_37,filler_control,5,0.0,0.0,0.0
patient_38,filler_control,5,0.0,0.0,0.0
patient_39,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_40,filler_control,5,0.0,0.0,0.0
patient_41,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_42,filler_control,5,0.0,0.0,0.0
patient_43,filler_control,5,0.0,0.0,0.0
patient_44,filler_control,5,0.0,0.0,0.0
patient_45,filler_control,5,0.0,0.0,0.0
patient_46,filler_control,5,0.0,0.0,0.0
patient_47,filler_control,5,0.0,0.0,0.0
patient_48,filler_control,5,0.0,0.0,0.0
patient_49,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_50,filler_control,5,0.0,0.0,0.0
patient_51,filler_control,5,-0.125,-1.0,-1.0
patient_52,filler_control,5,0.0,0.0,0.0
patient_53,filler_control,5,0.0,0.0,0.0
patient_54,filler_control,5,0.0,0.0,0.0
patient_55,filler_control,5,0.0,0.0,0.0
patient_56,filler_control,5,0.0,0.0,0.0
patient_57,filler_control,5,0.0,0.0,0.0
patient_58,filler_control,5,0.0,0.0,0.0
patient_59,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_60,filler_control,5,0.0,0.0,0.0
patient_61,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_62,filler_control,5,0.0,0.0,0.0
patient_63,filler_control,5,0.0,0.0,0.0
patient_64,filler_control,5,0.0,0.0,0.0
patient_65,filler_control,5,0.0,0.0,0.0
patient_66,filler_control,5,0.0,0.0,0.0
patient_67,filler_control,5,0.0,0.0,0.0
patient_68,filler_control,5,0.0,0.0,0.0
patient_69,filler_control,5,0.0,0.0,0.0
patient_70,filler_control,5,0.0,0.0,0.0
patient_71,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_72,filler_control,5,0.0,0.0,0.0
patient_73,filler_control,5,0.0,0.0,0.0
patient_74,filler_control,5,0.0,0.0,0.0
patient_75,filler_control,5,0.0,0.0,0.0
patient_76,filler_control,5,0.0,0.0,0.0
patient_77,filler_control,5,0.0,0.0,0.0
patient_78,filler_control,5,0.0,0.0,0.0
patient_79,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_80,filler_control,5,0.0,0.0,0.0
patient_81,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_82,filler_control,5,0.0,0.0,0.0
patient_83,filler_control,5,0.0,0.0,0.0
patient_84,filler_control,5,0.0,0.0,0.0
patient_85,filler_control,5,0.0,0.0,0.0
patient_86,filler_control,5,0.0,0.0,0.0
patient_87,filler_control,5,0.0,0.0,0.0
patient_88,filler_control,5,0.0,0.0,0.0
patient_89,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_90,filler_control,5,0.0,0.0,0.0
patient_91,filler_control,5,-0.022058823529411797,0.0,-1.0
patient_92,filler_control,5,0.0,0.0,0.0
patient_93,filler_control,5,0.0,0.0,0.0
patient_94,filler_control,5,0.0,0.0,0.0
patient_95,filler_control,5,0.0,0.0,0.0
patient_96,filler_control,5,0.0,0.0,0.0
patient_97,filler_control,5,0.0,0.0,0.0
patient_98,filler_control,5,0.0,0.0,0.0
patient_99,filler_control,5,-0.39999999999999997,-2.0,-2.0
patient_01,filler_control,10,-0.014705882352941207,0.0,-1.0
patient_02,filler_control,10,0.0,0.0,0.0
patient_03,filler_control,10,0.0,0.0,0.0
patient_04,filler_control,10,0.0,0.0,0.0
patient_05,filler_control,10,0.0,0.0,0.0
patient_06,filler_control,10,0.0,0.0,0.0
patient_07,filler_control,10,0.0,0.0,0.0
patient_08,filler_control,10,0.0,0.0,0.0
patient_09,filler_control,10,-0.39999999999999997,-2.0,-2.0
patient_10,filler_control,10,0.0,0.0,0.0
patient_100,filler_control,10,0.0,0.0,0.0
patient_11,filler_control,10,0.1029411764705882,1.0,0.0
patient_12,filler_control,10,0.0,0.0,0.0
patient_13,filler_control,10,0.0,0.0,0.0
patient_14,filler_control,10,0.0,0.0,0.0
patient_15,filler_control,10,0.0,0.0,0.0
patient_16,filler_control,10,0.0,0.0,0.0
patient_17,filler_control,10,0.0,0.0,0.0
patient_18,filler_control,10,0.0,0.0,0.0
patient_19,filler_control,10,0.0,0.0,0.0
