patient_id,condition,repetition,micro_f1,omission_count,hallucination_count
patient_01,filler_control,1,0.2352941176470588,7.0,6.0
patient_01,filler_control,5,0.375,6.0,4.0
patient_01,filler_control,10,0.25,7.0,5.0
patient_01,filler_control,16,0.125,8.0,6.0
patient_01,section_redundancy,1,0.25,7.0,5.0
patient_01,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_01,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_01,section_redundancy,16,0.2352941176470588,7.0,6.0
patient_02,filler_control,1,0.7142857142857143,2.0,2.0
patient_02,filler_control,5,0.7142857142857143,2.0,2.0
patient_02,filler_control,10,0.7142857142857143,2.0,2.0
patient_02,filler_control,16,0.7142857142857143,2.0,2.0
patient_02,section_redundancy,1,0.7142857142857143,2.0,2.0
patient_02,section_redundancy,5,0.7142857142857143,2.0,2.0
patient_02,section_redundancy,10,0.7142857142857143,2.0,2.0
patient_02,section_redundancy,16,0.7142857142857143,2.0,2.0
patient_03,filler_control,1,0.4444444444444444,5.0,5.0
patient_03,filler_control,5,0.4444444444444444,5.0,5.0
patient_03,filler_control,10,0.4444444444444444,5.0,5.0
patient_03,filler_control,16,0.4444444444444444,5.0,5.0
patient_03,section_redundancy,1,0.4444444444444444,5.0,5.0
patient_03,section_redundancy,5,0.4444444444444444,5.0,5.0
patient_03,section_redundancy,10,0.4444444444444444,5.0,5.0
patient_03,section_redundancy,16,0.4444444444444444,5.0,5.0
patient_04,filler_control,1,0.6666666666666666,2.0,2.0
patient_04,filler_control,5,0.6666666666666666,2.0,2.0
patient_04,filler_control,10,0.6666666666666666,2.0,2.0
patient_04,filler_control,16,0.6666666666666666,2.0,2.0
patient_04,section_redundancy,1,0.6666666666666666,2.0,2.0
patient_04,section_redundancy,5,0.6666666666666666,2.0,2.0
patient_04,section_redundancy,10,0.6666666666666666,2.0,2.0
patient_04,section_redundancy,16,0.6666666666666666,2.0,2.0
patient_05,filler_control,1,0.3529411764705882,6.0,5.0
patient_05,filler_control,5,0.3529411764705882,6.0,5.0
patient_05,filler_control,10,0.3529411764705882,6.0,5.0
patient_05,filler_control,16,0.3529411764705882,6.0,5.0
patient_05,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_05,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_05,section_redundancy,10,0.3529411764705882,6.0,5.0
