condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens
redundancy,patient_99,5,1,782,89,871
redundancy,patient_99,1,1,270,100,370
redundancy,patient_99,16,1,2190,94,2284
redundancy,patient_99,10,1,1422,89,1511
redundancy,patient_98,5,1,1097,130,1227
redundancy,patient_98,1,1,333,139,472
redundancy,patient_98,16,1,3198,130,3328
redundancy,patient_98,10,1,2052,130,2182
redundancy,patient_97,5,1,927,112,1039
redundancy,patient_97,1,1,299,113,412
redundancy,patient_97,16,1,2654,112,2766
redundancy,patient_97,10,1,1712,112,1824
redundancy,patient_96,5,1,847,91,938
redundancy,patient_96,1,1,283,91,374
redundancy,patient_96,16,1,2398,91,2489
redundancy,patient_96,10,1,1552,91,1643
redundancy,patient_95,5,1,1057,122,1179
redundancy,patient_95,1,1,325,133,458
redundancy,patient_95,16,1,3070,121,3191
redundancy,patient_95,10,1,1972,122,2094
redundancy,patient_94,5,1,832,85,917
redundancy,patient_94,1,1,280,92,372
redundancy,patient_94,16,1,2350,85,2435
redundancy,patient_94,10,1,1522,85,1607
redundancy,patient_93,5,1,1197,136,1333
redundancy,patient_93,1,1,353,149,502
redundancy,patient_93,16,1,3518,136,3654
redundancy,patient_93,10,1,2252,136,2388
redundancy,patient_92,5,1,1132,112,1244
redundancy,patient_92,1,1,340,177,517
redundancy,patient_92,16,1,3310,117,3427
redundancy,patient_92,10,1,2122,112,2234
redundancy,patient_91,5,1,1412,111,1523
redundancy,patient_91,1,1,396,230,626
redundancy,patient_91,16,1,4206,138,4344
redundancy,patient_91,10,1,2682,138,2820
redundancy,patient_90,5,1,1042,116,1158
redundancy,patient_90,1,1,322,121,443
redundancy,patient_90,16,1,3022,116,3138
redundancy,patient_90,10,1,1942,116,2058
redundancy,patient_89,5,1,782,89,871
redundancy,patient_89,1,1,270,100,370
redundancy,patient_89,16,1,2190,94,2284
redundancy,patient_89,10,1,1422,89,1511
redundancy,patient_88,5,1,1097,130,1227
redundancy,patient_88,1,1,333,139,472
redundancy,patient_88,16,1,3198,130,3328
redundancy,patient_88,10,1,2052,130,2182
redundancy,patient_87,5,1,927,112,1039
